# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.29492 -----------------
#dely    BF    dB     BFVar
0.050  0.5429  0.0002  0.0105
0.150  0.4952  0.0002  0.0068
0.250  0.4313  0.0002  0.0046
0.350  0.3678  0.0002  0.0054
0.450  0.3015  0.0002  0.0043
0.550  0.2377  0.0001  0.0031
0.650  0.1814  0.0001  0.0029
0.750  0.1347  0.0001  0.0031
0.850  0.0972  0.0001  0.0030
0.950  0.0665  0.0001  0.0012
1.050  0.0437  0.0000  0.0022
1.150  0.0262  0.0000  0.0021
1.250  0.0142  0.0000  0.0015
1.350  0.0067  0.0000  0.0012
1.450  0.0021  0.0000  0.0011
1.550  0.0006  0.0000  0.0008
1.650 -0.0002 -0.0000  0.0005
1.750 -0.0002 -0.0000  0.0002
