0.15 0.3086 0.2562 0.3264 0.326 0.3086 0.2964 0.286 0.2905 0.2983 0.3212 
0.25 0.2164 0.1989 0.263 0.2435 0.2249 0.205 0.2575 0.2182 0.2201 0.2691 
0.35 0.1644 0.1285 0.1671 0.1737 0.1548 0.1621 0.1942 0.1435 0.1567 0.1771 
0.45 0.0999 0.084 0.1232 0.1028 0.1037 0.0895 0.1316 0.0953 0.0981 0.1405 
0.55 0.0542 0.0469 0.067 0.0654 0.0576 0.05 0.0899 0.0529 0.0591 0.0877 
0.65 0.0224 0.0251 0.0316 0.0291 0.0274 0.03 0.0512 0.0246 0.0389 0.0477 
0.75 0.016 0.0152 0.0125 0.0144 0.009 0.0093 0.0235 0.0126 0.0285 0.023 
0.85 0.009 0.0107 0.0069 0.0067 0.0058 0.0046 0.0087 0.0032 0.0221 0.013 
0.95 0.0064 0.0089 0.0017 0.0037 0.0032 0.0002 -0.0036 0.003 0.0164 0.004 
1.05 0.0049 0.0075 0.005 0.0026 0.0019 0.0035 -0.0023 0.002 0.0124 0.0037 
1.15 0.0047 0.0051 0.0026 0.002 0.0017 0.0017 -0.0053 0.0021 0.0063 0.0019 
1.25 0.0017 0.0028 0.0022 0.001 0.002 0.0013 -0.0026 0.0013 0.0039 0.0008 
1.35 0.0007 0.0007 0.0007 0.0007 0.0005 0.0009 -0.0009 0.0008 0.0013 0.0008 
1.45 0.0002 0.0003 0.0001 0.0002 0.0002 0.0004 -0.0002 0.0002 0.0005 0.0002 
1.55 0 0.0001 0 0 0 0 0 0 0 0 
1.65 0 0 0 0 0 0 0 0 0 0 
1.75 0 0 0 0 0 0 0 0 0 0 
