! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.3670  8.404  7.911  7.637 15.257  1.036
 100.0 0.4014  9.707  7.891  7.275 12.826  1.085
 150.0 0.4352 11.088  7.553  6.806 10.713  1.110
 200.0 0.4679 12.532  7.172  6.298  9.155  1.139
 250.0 0.4974 13.772  6.713  5.844  7.840  1.149
 300.0 0.5238 14.914  6.291  5.441  6.813  1.156
 350.0 0.5493 16.169  5.989  5.163  6.145  1.160
 400.0 0.5639 17.079  5.627  4.869  5.438  1.156
 450.0 0.5886 17.957  5.320  4.656  4.927  1.143
 500.0 0.6052 18.887  5.078  4.433  4.548  1.145
