! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.3664  8.474  7.978  7.928 14.027  1.006
 100.0 0.3907  9.614  7.815  7.386 11.965  1.058
 150.0 0.4170 10.706  7.293  6.858 10.120  1.063
 200.0 0.4475 11.843  6.777  6.307  8.665  1.075
 250.0 0.4740 12.958  6.316  5.889  7.403  1.073
 300.0 0.4974 13.970  5.893  5.385  6.469  1.094
 350.0 0.5146 14.995  5.554  5.080  5.806  1.093
 400.0 0.5458 16.075  5.296  4.767  5.191  1.111
 450.0 0.5613 16.856  4.993  4.522  4.691  1.104
 500.0 0.5751 17.824  4.792  4.335  4.301  1.106
