# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.249887 -----------------
#dely    BF
0.050  0.3768  0.0011
0.150  0.3577  0.0010
0.250  0.3187  0.0010
0.350  0.2891  0.0009
0.450  0.2518  0.0008
0.550  0.2145  0.0008
0.650  0.1865  0.0007
0.750  0.1447  0.0006
0.850  0.1132  0.0005
0.950  0.0874  0.0004
1.050  0.0633  0.0003
1.150  0.0434  0.0003
1.250  0.0246  0.0002
1.350  0.0163  0.0001
1.450  0.0078  0.0001
1.550  0.0022  0.0000
1.650  0.0006  0.0000
1.750 -0.0000 -0.0000
