# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.193529 -----------------
#dely    BF
0.050 -0.1109 -0.0121
0.150  0.0170  0.0022
0.250  0.2592  0.0391
0.350  0.3467  0.0490
0.450  0.2927  0.0563
0.550  0.4525  0.0826
0.650  0.1538  0.0363
0.750  0.2978  0.0770
0.850  0.1185  0.0395
0.950  0.0419  0.0209
1.050  0.0677  0.0256
1.150  0.0007  0.0004
1.250  0.0000  0.0000
1.350 -0.0023 -0.0023
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
