# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0408777 -----------------
#dely    BF    dB     BFVar
0.050 -0.0905 -0.0000  0.0038
0.150 -0.0853 -0.0000  0.0024
0.250 -0.0766 -0.0000  0.0024
0.350 -0.0640 -0.0000  0.0026
0.450 -0.0509 -0.0000  0.0032
0.550 -0.0398 -0.0000  0.0015
0.650 -0.0295 -0.0000  0.0020
0.750 -0.0193 -0.0000  0.0013
0.850 -0.0100 -0.0000  0.0026
0.950 -0.0025 -0.0000  0.0014
1.050  0.0025  0.0000  0.0012
1.150  0.0069  0.0000  0.0006
1.250  0.0096  0.0000  0.0008
1.350  0.0114  0.0000  0.0007
1.450  0.0108  0.0000  0.0013
1.550  0.0094  0.0000  0.0006
1.650  0.0066  0.0000  0.0005
1.750  0.0024  0.0000  0.0002
