# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0171279 -----------------
#dely    BF    dB     BFVar
0.050 -0.0523 -0.0006  0.0074
0.150 -0.0379 -0.0005  0.0042
0.250 -0.0112 -0.0001  0.0344
0.350  0.0105  0.0001  0.0033
0.450  0.0311  0.0005  0.0057
0.550  0.0403  0.0007  0.0058
0.650  0.0500  0.0009  0.0048
0.750  0.0457  0.0009  0.0093
0.850  0.0321  0.0008  0.0036
0.950  0.0291  0.0008  0.0495
1.050  0.0191  0.0007  0.0037
1.150  0.0081  0.0004  0.0012
1.250  0.0052  0.0003  0.0011
1.350  0.0013  0.0001  0.0005
1.450  0.0002  0.0000  0.0002
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
