# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0542829 -----------------
#dely    BF    dB     BFVar
0.050 -0.0754 -0.0000  0.0027
0.150 -0.0724 -0.0000  0.0038
0.250 -0.0671 -0.0000  0.0043
0.350 -0.0622 -0.0000  0.0017
0.450 -0.0547 -0.0000  0.0031
0.550 -0.0487 -0.0000  0.0018
0.650 -0.0439 -0.0000  0.0026
0.750 -0.0372 -0.0000  0.0018
0.850 -0.0293 -0.0000  0.0015
0.950 -0.0228 -0.0000  0.0013
1.050 -0.0163 -0.0000  0.0014
1.150 -0.0111 -0.0000  0.0016
1.250 -0.0066 -0.0000  0.0008
1.350 -0.0021 -0.0000  0.0008
1.450  0.0006  0.0000  0.0006
1.550  0.0025  0.0000  0.0005
1.650  0.0027  0.0000  0.0005
1.750  0.0012  0.0000  0.0004
