# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.102444 -----------------
#dely    BF
0.050 -0.1224 -0.0001
0.150 -0.1173 -0.0001
0.250 -0.1089 -0.0001
0.350 -0.1008 -0.0001
0.450 -0.0913 -0.0001
0.550 -0.0804 -0.0001
0.650 -0.0684 -0.0001
0.750 -0.0621 -0.0001
0.850 -0.0552 -0.0001
0.950 -0.0487 -0.0001
1.050 -0.0419 -0.0001
1.150 -0.0367 -0.0001
1.250 -0.0297 -0.0001
1.350 -0.0227 -0.0001
1.450 -0.0178 -0.0001
1.550 -0.0118 -0.0001
1.650 -0.0064 -0.0000
1.750 -0.0021 -0.0000
