'uu_width','ud_width','us_width','ss_width'
0.478672, 0.983426, 0.868134, 0.967263
0.478773, 0.958857, 0.919587, 0.905925
0.504146, 1.04091, 0.951511, 0.863947
0.616275, 1.09394, 0.982904, 0.869998
0.422861, 0.983361, 0.878456, 1.00965
0.427888, 0.896806, 0.786621, 1.06681
0.415616, 0.885489, 0.808337, 1.055
0.539481, 0.912117, 0.767921, 0.971654
0.499382, 0.837438, 0.831475, 0.993752
0.556563, 0.889688, 0.920418, 0.824664
0.556563, 0.889688, 0.920418, 0.824664
0.556563, 0.889688, 0.920418, 0.824664
0.595284, 0.793557, 0.762212, 0.960143
0.575877, 0.792889, 0.896683, 0.920523
0.636613, 0.775187, 0.888895, 0.877944
0.636613, 0.775187, 0.888895, 0.877944
0.650835, 0.712201, 0.842166, 0.895884
0.576713, 0.700344, 0.88693, 0.85222
0.666026, 0.567293, 0.847365, 0.930437
0.70718, 0.401011, 0.879201, 0.896918
0.68671, 0.240605, 0.945025, 0.738059
0.682825, 0.324189, 0.83242, 0.815373
0.682825, 0.324189, 0.83242, 0.815373
0.742678, 0.261251, 0.829515, 0.920565
0.742678, 0.261251, 0.829515, 0.920565
0.764733, 0.29766, 0.916049, 0.836484
0.706416, 0.317182, 0.929875, 0.823259
0.706416, 0.317182, 0.929875, 0.823259
0.739899, 0.380624, 0.940054, 0.83216
0.783287, 0.363298, 0.959342, 0.824673
0.851809, 0.296755, 1.00673, 0.895035
0.884915, 0.291323, 1.05133, 0.934097
0.796921, 0.391602, 1.0379, 0.784121
0.796921, 0.391602, 1.0379, 0.784121
0.796692, 0.407045, 1.08293, 0.82888
0.858979, 0.356356, 0.928091, 0.884238
0.788487, 0.307874, 0.911457, 0.880562
0.788487, 0.307874, 0.911457, 0.880562
0.858097, 0.250986, 0.889589, 0.928868
0.857164, 0.317601, 0.915527, 0.971844
0.849759, 0.278121, 0.964947, 0.903379
0.980655, 0.250953, 0.980623, 0.972591
0.933716, 0.318323, 1.14129, 0.902498
0.988338, 0.22708, 1.1775, 0.954268
0.936742, 0.149221, 1.17374, 0.96806
0.988037, 0.203242, 1.08759, 0.944646
0.896487, 0.228365, 1.14779, 0.848311
0.953089, 0.236514, 1.17184, 0.852802
0.723909, 0.327103, 0.956847, 0.805901
0.749168, 0.256437, 0.978639, 0.805534
0.752544, 0.183151, 0.960072, 0.864102
0.802249, 0.185701, 0.9685, 0.928647
0.70343, 0.306818, 0.819926, 0.885838
0.686807, 0.298626, 0.822938, 0.847956
0.727696, 0.344334, 0.880179, 0.779432
0.731009, 0.275773, 0.89884, 0.827151
0.731009, 0.275773, 0.89884, 0.827151
0.704315, 0.210096, 0.925632, 0.814178
0.777714, 0.289446, 0.967329, 0.84013
0.81531, 0.295968, 0.954026, 0.932013
0.886039, 0.251356, 0.943696, 0.947644
0.853107, 0.222025, 1.02913, 0.922884
0.848018, 0.206469, 0.966375, 0.924945
0.795657, 0.128393, 0.933077, 0.935742
0.795657, 0.128393, 0.933077, 0.935742
0.846721, 0.113699, 1.00453, 1.04846
0.831449, 0.188569, 0.96386, 0.928229
0.831449, 0.188569, 0.96386, 0.928229
0.852176, 0.218593, 0.993583, 0.943914
0.866853, 0.348883, 0.96809, 0.863131
0.848784, 0.242503, 0.951223, 0.885198
0.760462, 0.184671, 0.923438, 0.89304
0.760462, 0.184671, 0.923438, 0.89304
0.776483, 0.167169, 0.854274, 0.932017
0.799193, 0.175825, 0.940686, 0.907029
0.799193, 0.175825, 0.940686, 0.907029
0.779987, 0.14764, 0.909977, 0.961256
0.779987, 0.14764, 0.909977, 0.961256
0.728702, 0.19694, 0.953254, 0.814119
0.837485, 0.199931, 0.940847, 0.912263
0.777424, 0.229169, 0.919765, 0.877984
0.821605, 0.156276, 0.949229, 0.931162
0.920278, 0.146061, 1.08464, 0.999502
0.847524, 0.260659, 1.01886, 0.82683
0.895019, 0.342589, 1.06125, 0.912682
0.856447, 0.309822, 1.05466, 0.900745
0.79154, 0.20545, 0.987803, 0.878897
0.876146, 0.228813, 1.04632, 0.913892
0.899035, 0.215522, 1.04227, 0.900752
0.980992, 0.258129, 1.10385, 1.04281
0.910967, 0.329796, 1.01615, 0.947603
0.885835, 0.348602, 1.09994, 0.852904
0.885835, 0.348602, 1.09994, 0.852904
0.994815, 0.254578, 1.21261, 0.801388
0.986772, 0.251538, 1.21105, 0.91436
0.963827, 0.261503, 1.30136, 0.876267
0.945563, 0.144596, 1.15899, 0.887773
0.892169, 0.207433, 1.07275, 0.857834
0.861489, 0.177399, 1.04171, 0.874255
0.822394, 0.249369, 0.902873, 0.917337
0.825461, 0.319789, 0.961134, 0.87082
0.781895, 0.334287, 0.96618, 0.898224
0.817138, 0.200355, 0.943714, 0.82455
0.766497, 0.308524, 0.996543, 0.868921
0.873976, 0.319443, 1.03862, 0.871381
0.810684, 0.238882, 1.02357, 0.855551
0.772538, 0.273727, 0.995085, 0.828107
0.779058, 0.2518, 0.901926, 0.868844
0.779058, 0.2518, 0.901926, 0.868844
0.865669, 0.188553, 0.998586, 0.914296
0.865669, 0.188553, 0.998586, 0.914296
0.79468, 0.181503, 0.894594, 0.890781
0.79468, 0.181503, 0.894594, 0.890781
0.817494, 0.223932, 0.997316, 0.925081
0.84878, 0.17308, 1.00058, 0.910941
0.842625, 0.17314, 0.997646, 0.932985
0.842625, 0.17314, 0.997646, 0.932985
0.831155, 0.211623, 1.01183, 0.973163
0.855209, 0.120401, 0.9641, 1.04194
0.881028, 0.141841, 0.996916, 1.05343
0.920815, 0.109761, 1.03978, 0.965033
0.882979, 0.201257, 1.01411, 0.901745
0.955, 0.255561, 1.01993, 0.915499
0.842777, 0.235007, 0.990867, 0.937058
0.850122, 0.211509, 1.00068, 0.883817
0.778169, 0.229704, 0.939045, 0.933421
0.849198, 0.277403, 1.01258, 0.845544
0.782381, 0.259501, 0.917218, 0.917941
