# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0507969 -----------------
#dely    BF
0.050  0.1114  0.0005
0.150  0.1002  0.0004
0.250  0.0826  0.0004
0.350  0.0640  0.0003
0.450  0.0475  0.0003
0.550  0.0323  0.0002
0.650  0.0233  0.0002
0.750  0.0154  0.0001
0.850  0.0111  0.0001
0.950  0.0077  0.0001
1.050  0.0054  0.0001
1.150  0.0034  0.0001
1.250  0.0021  0.0000
1.350  0.0010  0.0000
1.450  0.0004  0.0000
1.550  0.0000  0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
