# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0392138 -----------------
#dely    BF    dB     BFVar
0.050 -0.0587 -0.0008  0.0066
0.150 -0.0571 -0.0008  0.0098
0.250 -0.0491 -0.0007  0.0060
0.350 -0.0480 -0.0008  0.0061
0.450 -0.0445 -0.0008  0.0064
0.550 -0.0350 -0.0006  0.0091
0.650 -0.0286 -0.0006  0.0072
0.750 -0.0227 -0.0005  0.0034
0.850 -0.0180 -0.0005  0.0034
0.950 -0.0135 -0.0004  0.0022
1.050 -0.0094 -0.0003  0.0030
1.150 -0.0038 -0.0002  0.0009
1.250 -0.0025 -0.0002  0.0006
1.350 -0.0012 -0.0001  0.0005
1.450 -0.0000 -0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
