# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.065548 -----------------
#dely    BF    dB     BFVar
0.050  0.0498  0.0000  0.0036
0.150  0.0483  0.0000  0.0022
0.250  0.0498  0.0000  0.0028
0.350  0.0523  0.0000  0.0038
0.450  0.0553  0.0000  0.0024
0.550  0.0556  0.0000  0.0023
0.650  0.0550  0.0000  0.0012
0.750  0.0527  0.0000  0.0010
0.850  0.0485  0.0000  0.0011
0.950  0.0431  0.0000  0.0011
1.050  0.0376  0.0000  0.0006
1.150  0.0313  0.0000  0.0012
1.250  0.0247  0.0000  0.0008
1.350  0.0193  0.0000  0.0006
1.450  0.0144  0.0000  0.0005
1.550  0.0101  0.0000  0.0005
1.650  0.0058  0.0000  0.0002
1.750  0.0019  0.0000  0.0002
