# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.29044 -----------------
#dely    BF
0.050  0.4882  0.0027
0.150  0.4201  0.0024
0.250  0.3944  0.0024
0.350  0.3320  0.0022
0.450  0.2959  0.0021
0.550  0.2501  0.0019
0.650  0.2048  0.0018
0.750  0.1541  0.0015
0.850  0.1153  0.0012
0.950  0.0887  0.0011
1.050  0.0654  0.0009
1.150  0.0315  0.0005
1.250  0.0295  0.0006
1.350  0.0175  0.0004
1.450  0.0074  0.0002
1.550  0.0071  0.0003
1.650  0.0026  0.0001
1.750 -0.0003 -0.0000
