  3.75 -3.850e-01
 11.25 -1.644e-02
 18.75  3.937e-02
 26.25  4.285e-02
 33.75  4.005e-02
 41.25  3.591e-02
 48.75  3.557e-02
 56.25  3.108e-02
 63.75  2.390e-02
 71.25  2.044e-02
 78.75  1.905e-02
 86.25  1.775e-02
 93.75  1.357e-02
101.25  1.232e-02
108.75  1.230e-02
116.25  9.602e-03
123.75  7.448e-03
131.25  7.482e-03
138.75  6.773e-03
146.25  6.807e-03
153.75  4.863e-03
161.25  6.194e-03
168.75  5.862e-03
176.25  4.916e-03
#double Rx 13.0
#double Ry 13.0
#double tau 10.0
#double T 100.0
#double uxmax 1.0
#double uymax 1.0
#double etaG 1.7
#double ptmin 100.0
#double ymax 1.0
#double NMILLIONPAIRS 10
##double RHBT 6.0
##double RHBT 6.0
