# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0515111 -----------------
#dely    BF    dB     BFVar
0.050  0.0684  0.0007  0.0058
0.150  0.0597  0.0006  0.0039
0.250  0.0498  0.0005  0.0027
0.350  0.0499  0.0006  0.0049
0.450  0.0499  0.0006  0.0036
0.550  0.0461  0.0007  0.0042
0.650  0.0475  0.0008  0.0027
0.750  0.0402  0.0008  0.0027
0.850  0.0347  0.0008  0.0054
0.950  0.0298  0.0008  0.0025
1.050  0.0186  0.0007  0.0017
1.150  0.0123  0.0005  0.0015
1.250  0.0058  0.0004  0.0407
1.350  0.0022  0.0002  0.0013
1.450  0.0004  0.0001  0.0002
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
