# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0939015 -----------------
#dely    BF    dB     BFVar
0.050  0.1359  0.0005  0.0066
0.150  0.1311  0.0004  0.0032
0.250  0.1199  0.0004  0.0025
0.350  0.1095  0.0004  0.0018
0.450  0.0971  0.0004  0.0029
0.550  0.0840  0.0004  0.0024
0.650  0.0702  0.0004  0.0026
0.750  0.0580  0.0003  0.0015
0.850  0.0459  0.0003  0.0024
0.950  0.0333  0.0003  0.0011
1.050  0.0236  0.0002  0.0011
1.150  0.0153  0.0002  0.0011
1.250  0.0087  0.0001  0.0008
1.350  0.0046  0.0001  0.0003
1.450  0.0016  0.0000  0.0002
1.550  0.0004  0.0000  0.0003
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
