# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.361842 -----------------
#dely    BF    dB     BFVar
0.050  0.4641  0.0003  0.0034
0.150  0.4321  0.0003  0.0040
0.250  0.4009  0.0003  0.0031
0.350  0.3669  0.0002  0.0034
0.450  0.3341  0.0002  0.0035
0.550  0.2972  0.0002  0.0034
0.650  0.2616  0.0002  0.0037
0.750  0.2286  0.0002  0.0021
0.850  0.1937  0.0002  0.0032
0.950  0.1636  0.0002  0.0024
1.050  0.1342  0.0001  0.0028
1.150  0.1062  0.0001  0.0012
1.250  0.0827  0.0001  0.0029
1.350  0.0614  0.0001  0.0011
1.450  0.0431  0.0001  0.0011
1.550  0.0282  0.0001  0.0011
1.650  0.0153  0.0000  0.0005
1.750  0.0046  0.0000  0.0005
