# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.218158 -----------------
#dely    BF    dB     BFVar
0.050  0.2879  0.0001  0.0036
0.150  0.2667  0.0001  0.0027
0.250  0.2490  0.0001  0.0031
0.350  0.2255  0.0001  0.0033
0.450  0.2050  0.0001  0.0034
0.550  0.1823  0.0001  0.0032
0.650  0.1589  0.0001  0.0028
0.750  0.1370  0.0001  0.0038
0.850  0.1160  0.0001  0.0016
0.950  0.0953  0.0001  0.0020
1.050  0.0763  0.0001  0.0032
1.150  0.0594  0.0001  0.0013
1.250  0.0447  0.0001  0.0023
1.350  0.0321  0.0000  0.0009
1.450  0.0223  0.0000  0.0009
1.550  0.0137  0.0000  0.0006
1.650  0.0073  0.0000  0.0005
1.750  0.0022  0.0000  0.0002
