# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0455325 -----------------
#dely    BF
0.050 -0.0922 -0.0011
0.150 -0.0829 -0.0010
0.250 -0.0714 -0.0009
0.350 -0.0590 -0.0008
0.450 -0.0410 -0.0006
0.550 -0.0339 -0.0006
0.650 -0.0247 -0.0005
0.750 -0.0175 -0.0004
0.850 -0.0123 -0.0003
0.950 -0.0089 -0.0003
1.050 -0.0057 -0.0002
1.150 -0.0037 -0.0002
1.250 -0.0016 -0.0001
1.350 -0.0004 -0.0000
1.450 -0.0001 -0.0000
1.550 -0.0000 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
