# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.264018 -----------------
#dely    BF
0.050  0.4184  0.0023
0.150  0.3905  0.0023
0.250  0.3442  0.0021
0.350  0.3086  0.0020
0.450  0.2750  0.0019
0.550  0.2204  0.0017
0.650  0.1867  0.0016
0.750  0.1474  0.0014
0.850  0.1025  0.0011
0.950  0.0818  0.0010
1.050  0.0582  0.0008
1.150  0.0411  0.0007
1.250  0.0259  0.0005
1.350  0.0174  0.0004
1.450  0.0154  0.0004
1.550  0.0042  0.0001
1.650  0.0026  0.0001
1.750 -0.0000 -0.0000
