# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0588873 -----------------
#dely    BF    dB     BFVar
0.050 -0.0852 -0.0004  0.0031
0.150 -0.0805 -0.0004  0.0030
0.250 -0.0735 -0.0003  0.0036
0.350 -0.0696 -0.0003  0.0024
0.450 -0.0601 -0.0003  0.0017
0.550 -0.0519 -0.0003  0.0012
0.650 -0.0441 -0.0003  0.0016
0.750 -0.0363 -0.0002  0.0014
0.850 -0.0285 -0.0002  0.0008
0.950 -0.0221 -0.0002  0.0010
1.050 -0.0158 -0.0001  0.0020
1.150 -0.0109 -0.0001  0.0008
1.250 -0.0062 -0.0001  0.0004
1.350 -0.0029 -0.0001  0.0002
1.450 -0.0010 -0.0000  0.0001
1.550 -0.0003 -0.0000  0.0000
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
