# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.3946 -----------------
#dely    BF    dB     BFVar
0.050  0.6630  0.0003  0.0083
0.150  0.6090  0.0002  0.0057
0.250  0.5374  0.0002  0.0049
0.350  0.4622  0.0002  0.0066
0.450  0.3918  0.0002  0.0049
0.550  0.3189  0.0002  0.0028
0.650  0.2542  0.0002  0.0022
0.750  0.2016  0.0001  0.0031
0.850  0.1536  0.0001  0.0021
0.950  0.1158  0.0001  0.0026
1.050  0.0844  0.0001  0.0017
1.150  0.0592  0.0001  0.0013
1.250  0.0398  0.0001  0.0008
1.350  0.0261  0.0000  0.0010
1.450  0.0156  0.0000  0.0005
1.550  0.0088  0.0000  0.0005
1.650  0.0039  0.0000  0.0005
1.750  0.0009  0.0000  0.0001
