# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=5.53888e-05 -----------------
#dely    BF
0.050 -0.1046 -0.0070
0.150 -0.0926 -0.0064
0.250 -0.0260 -0.0017
0.350 -0.0584 -0.0040
0.450 -0.0351 -0.0024
0.550 -0.1044 -0.0072
0.650 -0.0037 -0.0003
0.750 -0.0767 -0.0057
0.850 -0.0963 -0.0076
0.950 -0.0098 -0.0008
1.050 -0.0923 -0.0072
1.150 -0.0614 -0.0051
1.250 -0.0537 -0.0042
1.350 -0.0630 -0.0054
1.450 -0.0394 -0.0036
1.550 -0.0535 -0.0050
1.650  0.0031  0.0003
1.750 -0.0878 -0.0082
1.850 -0.0509 -0.0044
1.950 -0.0711 -0.0068
2.050 -0.0221 -0.0022
2.150 -0.0013 -0.0001
2.250 -0.0099 -0.0010
2.350 -0.0365 -0.0040
2.450  0.0147  0.0017
2.550  0.0487  0.0050
2.650  0.0297  0.0036
2.750  0.0164  0.0018
2.850  0.0341  0.0046
2.950  0.0299  0.0039
3.050 -0.0220 -0.0032
3.150  0.0150  0.0022
3.250  0.0357  0.0042
3.350  0.0317  0.0040
3.450 -0.0098 -0.0013
3.550  0.0389  0.0056
3.650 -0.0263 -0.0041
3.750  0.0144  0.0023
3.850 -0.0019 -0.0003
3.950 -0.0112 -0.0021
4.050 -0.0042 -0.0007
4.150 -0.0384 -0.0067
4.250 -0.0204 -0.0039
4.350  0.0059  0.0013
4.450  0.0254  0.0049
4.550 -0.0185 -0.0040
4.650  0.0223  0.0067
4.750 -0.0181 -0.0049
4.850 -0.0979 -0.0174
4.950 -0.0406 -0.0093
5.050 -0.0220 -0.0052
5.150 -0.0482 -0.0153
5.250 -0.0215 -0.0047
5.350  0.0083  0.0023
5.450 -0.0220 -0.0074
5.550 -0.0770 -0.0183
5.650  0.0243  0.0070
5.750 -0.0416 -0.0105
5.850 -0.0538 -0.0150
5.950 -0.0028 -0.0007
6.050 -0.0354 -0.0135
6.150 -0.0043 -0.0018
6.250 -0.0122 -0.0046
6.350 -0.0383 -0.0146
6.450  0.0077  0.0021
6.550  0.0166  0.0063
6.650 -0.0764 -0.0247
6.750 -0.0652 -0.0301
6.850 -0.0187 -0.0077
6.950 -0.0233 -0.0105
7.050  0.0299  0.0150
7.150 -0.0030 -0.0015
7.250 -0.1098 -0.0415
7.350  0.0048  0.0028
7.450  0.0021  0.0010
7.550  0.0030  0.0030
7.650  0.0044  0.0044
7.750  0.0449  0.0170
7.850  0.0193  0.0137
7.950  0.0098  0.0070
8.050  0.0208  0.0085
8.150  0.0301  0.0151
8.250  0.0125  0.0125
8.350  0.0998  0.0457
8.450  0.0065  0.0046
8.550  0.0000  0.0000
8.650  0.0379  0.0269
8.750 -0.1019 -0.1019
8.850  0.0629  0.0469
8.950  0.0303  0.0303
9.050  0.1591  0.0785
9.150  0.0000  0.0000
9.250  0.0460  0.0268
9.350  0.0000  0.0000
9.450  0.0000  0.0000
9.550 -0.1296 -0.1296
9.650  0.0346  0.0249
9.750 -0.0715 -0.0715
9.850  0.0114  0.0114
9.950  0.1119  0.0712
10.050  0.0000  0.0000
10.150  0.0218  0.0155
10.250  0.0000  0.0000
10.350  0.0000  0.0000
10.450  0.0142  0.0142
10.550  0.0000  0.0000
10.650  0.2558  0.2558
10.750  0.0000  0.0000
10.850  0.0000  0.0000
10.950  0.0467  0.0467
11.050  0.0000  0.0000
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350 -0.0434 -0.0434
11.450  0.0000  0.0000
11.550  0.0000  0.0000
11.650  0.2114  0.2269
11.750  0.0000  0.0000
11.850  0.0000  0.0000
11.950  0.0000  0.0000
