'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
-0.0858056,-0.0282023,0.111572,0.0276692
0.00990194,-0.0245812,0.0489931,0.157142
0.00990194,-0.0245812,0.0489931,0.157142
0.00990194,-0.0245812,0.0489931,0.157142
0.00990194,-0.0245812,0.0489931,0.157142
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
-0.00556546,-0.0642707,0.0230534,0.295746
0.0445287,-0.193152,-0.137804,0.241663
0.0445287,-0.193152,-0.137804,0.241663
0.0856112,-0.119928,-0.221742,0.234693
0.118051,-0.0632368,-0.234745,0.233098
0.118051,-0.0632368,-0.234745,0.233098
0.118051,-0.0632368,-0.234745,0.233098
0.118051,-0.0632368,-0.234745,0.233098
0.118051,-0.0632368,-0.234745,0.233098
0.118051,-0.0632368,-0.234745,0.233098
0.121971,-0.0136988,-0.39873,0.222758
0.168194,0.0610432,-0.361693,0.244125
0.168194,0.0610432,-0.361693,0.244125
0.200814,0.166534,-0.339434,0.216013
0.135081,0.0649173,-0.306088,0.290325
0.238857,0.0738645,-0.390005,0.328996
0.292557,0.165801,-0.276323,0.265589
0.292557,0.165801,-0.276323,0.265589
0.292557,0.165801,-0.276323,0.265589
0.292557,0.165801,-0.276323,0.265589
0.292557,0.165801,-0.276323,0.265589
0.382126,0.0633597,-0.331382,0.28866
0.402202,0.0447543,-0.408599,0.320895
0.348841,-0.140781,-0.459967,0.334171
0.398191,-0.171905,-0.445757,0.293815
0.398191,-0.171905,-0.445757,0.293815
0.415724,-0.140886,-0.430437,0.306001
0.488106,-0.1566,-0.438138,0.413713
0.548576,-0.142441,-0.4085,0.385457
0.594237,-0.223169,-0.467466,0.492506
0.678049,-0.141712,-0.455525,0.524729
