0.15 0.4601 0.4725 0.3143 0.3904 0.5237 0.3332 0.1158 0.5091 0.3369 0.1909 0.5234 0.4741 0.3141 0.5849 0.4 0.2405 0.4301 0.3026 0.3041 0.4949 
0.25 0.4025 0.4188 0.247 0.3471 0.4725 0.2736 0.0935 0.4248 0.2707 0.1594 0.4497 0.4032 0.2508 0.4999 0.3346 0.1855 0.3602 0.2521 0.2491 0.4295 
0.35 0.342 0.3576 0.189 0.2924 0.3942 0.2077 0.0628 0.3201 0.1917 0.1134 0.3517 0.3189 0.1865 0.4002 0.2603 0.1393 0.2655 0.1845 0.1861 0.3347 
0.45 0.2654 0.2784 0.1333 0.2329 0.3079 0.1404 0.0335 0.241 0.1291 0.0714 0.2486 0.2293 0.1277 0.2868 0.1813 0.0929 0.1793 0.1324 0.1331 0.253 
0.55 0.2091 0.2153 0.0879 0.1892 0.2429 0.0935 0.0129 0.1502 0.0823 0.0444 0.166 0.1652 0.0813 0.1837 0.1234 0.061 0.1097 0.0794 0.0875 0.176 
0.65 0.1489 0.1609 0.0559 0.1413 0.17 0.054 -0.0001 0.0982 0.0432 0.0235 0.1003 0.1014 0.0454 0.1267 0.0798 0.0329 0.0645 0.0471 0.051 0.124 
0.75 0.101 0.1078 0.0321 0.0973 0.1173 0.034 -0.0086 0.0534 0.0204 0.0085 0.0607 0.0595 0.0275 0.0774 0.0477 0.0179 0.0327 0.0182 0.0308 0.0767 
0.85 0.0647 0.0738 0.0216 0.0673 0.0791 0.0189 -0.0098 0.0287 0.008 0.0007 0.0315 0.0332 0.0146 0.0432 0.0277 0.0074 0.0165 0.0058 0.0172 0.0438 
0.95 0.044 0.0487 0.0119 0.0423 0.0454 0.0093 -0.0099 0.0146 0.0027 -0.0028 0.0149 0.0157 0.007 0.0225 0.0141 0.0031 0.0075 -0.0017 0.0097 0.0206 
1.05 0.0204 0.0267 0.0063 0.023 0.0257 0.0045 -0.0084 0.0061 0.0001 -0.0046 0.006 0.005 0.0031 0.0111 0.0076 -0.0004 0.0019 -0.0052 0.0053 0.0088 
1.15 0.0114 0.0134 0.0031 0.0126 0.0149 0.0019 -0.0062 0.0024 -0.0016 -0.003 0.0017 0.0009 0.0011 0.0039 0.0035 -0.0011 -0.0004 -0.0052 0.0024 0.0023 
1.25 0.0059 0.0065 0.0017 0.0061 0.0045 0.0005 -0.0037 0.0005 -0.0016 -0.0023 -0.0002 -0.0009 0.0004 0.0008 0.0013 -0.0012 -0.0009 -0.0041 0.0011 0.0011 
1.35 0.0016 0.0024 0.0004 0.0014 0.0017 -0 -0.002 0.0001 -0.0007 -0.0016 -0.0007 -0.0005 0.0002 0.0001 0.0007 -0.0008 -0.0007 -0.0021 0.0005 -0.0007 
1.45 0.0004 0.0006 0.0002 0.0005 -0 -0.0001 -0.0008 -0 -0.0004 -0.0007 -0.0003 -0.0003 0 -0.0001 0.0002 -0.0003 -0.0004 -0.0008 0.0002 -0.0001 
1.55 0.0001 0.0001 0 0 -0.0001 0 -0.0002 -0 -0.0001 -0.0001 -0.0001 -0.0001 0 -0 0 -0.0001 -0 -0.0002 0 -0.0001 
1.65 0 0 0 0 -0 0 -0 0 0 0 -0 -0 -0 0 0 -0 0 0 0 -0 
1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
