# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00769738 -----------------
#dely    BF
0.050 -0.0461 -0.0026
0.150 -0.0270 -0.0016
0.250 -0.0239 -0.0015
0.350 -0.0056 -0.0005
0.450 -0.0065 -0.0006
0.550  0.0005  0.0000
0.650  0.0088  0.0012
0.750  0.0032  0.0005
0.850  0.0101  0.0022
0.950  0.0048  0.0012
1.050  0.0034  0.0014
1.150  0.0021  0.0010
1.250 -0.0010 -0.0005
1.350  0.0004  0.0004
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
