# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0583553 -----------------
#dely    BF    dB     BFVar
0.050  0.0788  0.0010  0.0043
0.150  0.0826  0.0010  0.0095
0.250  0.0730  0.0010  0.0050
0.350  0.0696  0.0010  0.0043
0.450  0.0591  0.0009  0.0029
0.550  0.0528  0.0009  0.0027
0.650  0.0482  0.0009  0.0035
0.750  0.0384  0.0008  0.0023
0.850  0.0281  0.0007  0.0020
0.950  0.0224  0.0006  0.0017
1.050  0.0155  0.0005  0.0011
1.150  0.0088  0.0004  0.0014
1.250  0.0040  0.0002  0.0012
1.350  0.0018  0.0002  0.0004
1.450  0.0003  0.0001  0.0001
1.550  0.0000  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
