# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.247266 -----------------
#dely    BF
0.050  0.3821  0.0004
0.150  0.3570  0.0004
0.250  0.3229  0.0003
0.350  0.2887  0.0003
0.450  0.2530  0.0003
0.550  0.2151  0.0003
0.650  0.1768  0.0002
0.750  0.1419  0.0002
0.850  0.1108  0.0002
0.950  0.0812  0.0001
1.050  0.0582  0.0001
1.150  0.0394  0.0001
1.250  0.0235  0.0001
1.350  0.0137  0.0000
1.450  0.0065  0.0000
1.550  0.0021  0.0000
1.650  0.0001  0.0000
1.750 -0.0000 -0.0000
