# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0212789 -----------------
#dely    BF    dB     BFVar
0.050  0.0290  0.0000  0.0013
0.150  0.0279  0.0000  0.0004
0.250  0.0268  0.0000  0.0014
0.350  0.0248  0.0000  0.0012
0.450  0.0222  0.0000  0.0005
0.550  0.0188  0.0000  0.0007
0.650  0.0167  0.0000  0.0005
0.750  0.0138  0.0000  0.0007
0.850  0.0108  0.0000  0.0004
0.950  0.0077  0.0000  0.0003
1.050  0.0059  0.0000  0.0004
1.150  0.0039  0.0000  0.0003
1.250  0.0024  0.0000  0.0002
1.350  0.0012  0.0000  0.0002
1.450  0.0007  0.0000  0.0002
1.550  0.0002  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750 -0.0000 -0.0000  0.0000
