# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.666667
# ------- normalization=0.0143283 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0354  0.0001 -0.0266  0.0530  0.0090
0.150  0.0320  0.0001 -0.0252  0.0493  0.0080
0.250  0.0277  0.0001 -0.0230  0.0436  0.0071
0.350  0.0217  0.0001 -0.0205  0.0361  0.0060
0.450  0.0150  0.0001 -0.0179  0.0286  0.0043
0.550  0.0092  0.0000 -0.0152  0.0218  0.0026
0.650  0.0050  0.0000 -0.0126  0.0160  0.0016
0.750  0.0019  0.0000 -0.0098  0.0107  0.0011
0.850  0.0000  0.0000 -0.0075  0.0069  0.0006
0.950 -0.0010 -0.0000 -0.0053  0.0040  0.0003
1.050 -0.0013 -0.0000 -0.0036  0.0021  0.0001
1.150 -0.0011 -0.0000 -0.0021  0.0010  0.0000
1.250 -0.0007 -0.0000 -0.0011  0.0004  0.0000
1.350 -0.0003 -0.0000 -0.0005  0.0001  0.0000
1.450 -0.0001 -0.0000 -0.0001  0.0000  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
