# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0273132 -----------------
#dely    BF
0.050 -0.0460 -0.0003
0.150 -0.0424 -0.0003
0.250 -0.0376 -0.0003
0.350 -0.0334 -0.0003
0.450 -0.0252 -0.0002
0.550 -0.0216 -0.0002
0.650 -0.0166 -0.0002
0.750 -0.0135 -0.0002
0.850 -0.0102 -0.0001
0.950 -0.0083 -0.0001
1.050 -0.0072 -0.0001
1.150 -0.0049 -0.0001
1.250 -0.0037 -0.0001
1.350 -0.0016 -0.0001
1.450 -0.0008 -0.0000
1.550 -0.0002 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
