# SIGMA_QGP=1.0266, SIGMA_HAD=0.566375
# NSAMPLE=10000000, Tblast=89.0947, UPERPblast(x,y)=(0.7476,0.7476)
# SOVERUD=0.8374, QUARK_ENTROPY_RATIO=0.2137, BARYON_FUDGE=0.6284
# ------- normalization=0.2299 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3163  0.0002  0.0759  0.0662  0.1742
0.150  0.2957  0.0002  0.0719  0.0617  0.1622
0.250  0.2702  0.0002  0.0648  0.0567  0.1487
0.350  0.2455  0.0002  0.0605  0.0502  0.1349
0.450  0.2202  0.0002  0.0557  0.0450  0.1195
0.550  0.1938  0.0002  0.0508  0.0380  0.1050
0.650  0.1649  0.0002  0.0434  0.0325  0.0890
0.750  0.1416  0.0002  0.0391  0.0269  0.0756
0.850  0.1177  0.0002  0.0335  0.0224  0.0619
0.950  0.0942  0.0001  0.0280  0.0172  0.0490
1.050  0.0740  0.0001  0.0234  0.0133  0.0373
1.150  0.0567  0.0001  0.0193  0.0097  0.0277
1.250  0.0406  0.0001  0.0144  0.0069  0.0194
1.350  0.0288  0.0001  0.0112  0.0049  0.0127
1.450  0.0194  0.0001  0.0081  0.0033  0.0080
1.550  0.0120  0.0000  0.0055  0.0019  0.0045
1.650  0.0058  0.0000  0.0029  0.0009  0.0020
1.750  0.0015  0.0000  0.0007  0.0003  0.0005
