# ICODE=321, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.059306 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0870  0.0001  0.0923 -0.0111  0.0058
0.150  0.0835  0.0001  0.0883 -0.0103  0.0055
0.250  0.0769  0.0001  0.0812 -0.0092  0.0049
0.350  0.0690  0.0001  0.0725 -0.0078  0.0044
0.450  0.0616  0.0001  0.0641 -0.0062  0.0037
0.550  0.0524  0.0001  0.0541 -0.0049  0.0032
0.650  0.0440  0.0001  0.0450 -0.0037  0.0027
0.750  0.0359  0.0001  0.0364 -0.0026  0.0021
0.850  0.0280  0.0001  0.0282 -0.0017  0.0015
0.950  0.0211  0.0001  0.0210 -0.0011  0.0011
1.050  0.0149  0.0001  0.0149 -0.0006  0.0007
1.150  0.0096  0.0001  0.0095 -0.0003  0.0004
1.250  0.0054  0.0000  0.0054 -0.0001  0.0002
1.350  0.0025  0.0000  0.0025 -0.0000  0.0000
1.450  0.0009  0.0000  0.0009 -0.0000  0.0000
1.550  0.0002  0.0000  0.0002 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
