# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.44117e-05 -----------------
#dely    BF
0.050  0.0363  0.0032
0.150  0.0262  0.0024
0.250  0.0208  0.0019
0.350 -0.0289 -0.0029
0.450  0.0046  0.0005
0.550 -0.0078 -0.0010
0.650  0.0112  0.0016
0.750 -0.0301 -0.0042
0.850 -0.0110 -0.0018
0.950 -0.0239 -0.0039
1.050 -0.0014 -0.0004
1.150  0.0065  0.0020
1.250 -0.0123 -0.0043
1.350  0.0099  0.0049
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
