# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0426446 -----------------
#dely    BF
0.050 -0.1018 -0.0001
0.150 -0.0971 -0.0001
0.250 -0.0809 -0.0001
0.350 -0.0642 -0.0001
0.450 -0.0516 -0.0001
0.550 -0.0373 -0.0001
0.650 -0.0251 -0.0000
0.750 -0.0159 -0.0000
0.850 -0.0059 -0.0000
0.950 -0.0006 -0.0000
1.050  0.0041  0.0000
1.150  0.0086  0.0000
1.250  0.0094  0.0000
1.350  0.0115  0.0000
1.450  0.0096  0.0000
1.550  0.0073  0.0000
1.650  0.0030  0.0000
1.750  0.0004  0.0000
