! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.2884  6.719  6.325  5.921 13.750  1.068
 100.0 0.3218  8.023  6.522  5.488 11.368  1.188
 150.0 0.3773  9.738  6.633  5.128  9.464  1.293
 200.0 0.4400 11.598  6.637  4.835  8.124  1.373
 250.0 0.4938 13.269  6.468  4.492  7.042  1.440
 300.0 0.5460 14.901  6.285  4.295  6.267  1.463
 350.0 0.5929 16.528  6.122  4.135  5.631  1.480
 400.0 0.6308 17.984  5.925  3.992  5.184  1.484
 450.0 0.6567 19.606  5.808  3.798  4.759  1.529
 500.0 0.6805 21.163  5.690  3.754  4.487  1.516
