# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0539205 -----------------
#dely    BF    dB     BFVar
0.050 -0.0161 -0.0000  0.0024
0.150 -0.0079 -0.0000  0.0030
0.250  0.0048  0.0000  0.0029
0.350  0.0208  0.0000  0.0015
0.450  0.0379  0.0000  0.0026
0.550  0.0497  0.0000  0.0024
0.650  0.0577  0.0000  0.0018
0.750  0.0622  0.0001  0.0020
0.850  0.0629  0.0001  0.0019
0.950  0.0600  0.0001  0.0018
1.050  0.0536  0.0001  0.0010
1.150  0.0469  0.0001  0.0011
1.250  0.0384  0.0001  0.0007
1.350  0.0296  0.0001  0.0026
1.450  0.0213  0.0001  0.0005
1.550  0.0122  0.0000  0.0006
1.650  0.0048  0.0000  0.0003
1.750  0.0004  0.0000  0.0001
