# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0715336 -----------------
#dely    BF    dB     BFVar
0.050 -0.1422 -0.0001  0.0027
0.150 -0.1328 -0.0001  0.0024
0.250 -0.1191 -0.0001  0.0023
0.350 -0.1011 -0.0001  0.0023
0.450 -0.0846 -0.0001  0.0030
0.550 -0.0666 -0.0000  0.0035
0.650 -0.0508 -0.0000  0.0030
0.750 -0.0359 -0.0000  0.0027
0.850 -0.0228 -0.0000  0.0018
0.950 -0.0115 -0.0000  0.0028
1.050 -0.0025 -0.0000  0.0012
1.150  0.0041  0.0000  0.0012
1.250  0.0080  0.0000  0.0012
1.350  0.0109  0.0000  0.0008
1.450  0.0109  0.0000  0.0012
1.550  0.0107  0.0000  0.0006
1.650  0.0075  0.0000  0.0005
1.750  0.0025  0.0000  0.0002
