!------------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                    
!------------------------------------------------------------------
0.45     	  4.87e+00  	  9.3e-02  	  1.64e+01  	  3.4e-01 
0.55     	  3.88e+00  	  6.7e-02  	  1.31e+01  	  2.4e-01 
0.65     	  2.96e+00  	  4.9e-02  	  1.01e+01  	  1.8e-01 
0.75     	  2.20e+00  	  3.6e-02  	  7.69e+00  	  1.4e-01 
0.85     	  1.59e+00  	  2.6e-02  	  5.61e+00  	  1.0e-01 
0.95     	  1.14e+00  	  1.9e-02  	  4.11e+00  	  7.7e-02 
1.05     	  8.50e-01  	  1.5e-02  	  3.03e+00  	  6.0e-02 
1.15     	  5.96e-01  	  1.0e-02  	  2.11e+00  	  4.4e-02 
1.25     	  4.29e-01  	  7.8e-03  	  1.53e+00  	  3.4e-02 
1.35     	  3.23e-01  	  6.2e-03  	  1.15e+00  	  2.8e-02 
1.45     	  2.32e-01  	  4.6e-03  	  8.42e-01  	  2.2e-02 
1.55     	  1.67e-01  	  3.4e-03  	  5.86e-01  	  1.7e-02 
1.65     	  1.21e-01  	  2.6e-03  	  4.42e-01  	  1.4e-02 
1.75     	  8.78e-02  	  2.0e-03  	  3.17e-01  	  1.1e-02 
1.85     	  6.76e-02  	  1.6e-03  	  2.52e-01  	  9.4e-03 
1.95     	  5.10e-02  	  1.3e-03  	  1.83e-01  	  7.9e-03 
