# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0178649 -----------------
#dely    BF    dB     BFVar
0.050 -0.0605 -0.0003  0.0072
0.150 -0.0493 -0.0003  0.0031
0.250 -0.0384 -0.0002  0.0020
0.350 -0.0251 -0.0002  0.0025
0.450 -0.0148 -0.0001  0.0018
0.550 -0.0061 -0.0001  0.0016
0.650 -0.0001 -0.0000  0.0012
0.750  0.0030  0.0000  0.0019
0.850  0.0028  0.0000  0.0007
0.950  0.0037  0.0001  0.0007
1.050  0.0025  0.0000  0.0006
1.150  0.0022  0.0000  0.0008
1.250  0.0009  0.0000  0.0003
1.350  0.0004  0.0000  0.0001
1.450  0.0002  0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
