# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0542575 -----------------
#dely    BF    dB     BFVar
0.050  0.0799  0.0007  0.0054
0.150  0.0654  0.0006  0.0069
0.250  0.0527  0.0005  0.0074
0.350  0.0522  0.0006  0.0064
0.450  0.0544  0.0007  0.0065
0.550  0.0504  0.0007  0.0049
0.650  0.0517  0.0009  0.0043
0.750  0.0460  0.0009  0.0032
0.850  0.0375  0.0009  0.0049
0.950  0.0262  0.0008  0.0026
1.050  0.0139  0.0005  0.0020
1.150  0.0077  0.0004  0.0022
1.250  0.0034  0.0002  0.0009
1.350  0.0009  0.0001  0.0004
1.450  0.0004  0.0001  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
