# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=-0.00809129 -----------------
#dely    BF
0.050 -0.0248 -0.0018
0.150 -0.0062 -0.0005
0.250 -0.0081 -0.0007
0.350 -0.0132 -0.0012
0.450 -0.0088 -0.0008
0.550 -0.0064 -0.0007
0.650 -0.0048 -0.0005
0.750  0.0001  0.0000
0.850 -0.0068 -0.0010
0.950  0.0043  0.0007
1.050  0.0010  0.0002
1.150 -0.0012 -0.0004
1.250 -0.0055 -0.0016
1.350  0.0000  0.0000
1.450 -0.0006 -0.0004
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
