# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.133024 -----------------
#dely    BF
0.050 -0.3523 -0.0023
0.150 -0.2967 -0.0020
0.250 -0.2835 -0.0020
0.350 -0.2042 -0.0015
0.450 -0.2162 -0.0017
0.550 -0.0859 -0.0007
0.650 -0.0919 -0.0008
0.750 -0.0797 -0.0008
0.850 -0.0012 -0.0000
0.950  0.0047  0.0001
1.050  0.0706  0.0009
1.150  0.0359  0.0005
1.250  0.0534  0.0009
1.350  0.0411  0.0008
1.450  0.0221  0.0005
1.550  0.0424  0.0012
1.650  0.0057  0.0002
1.750  0.0055  0.0004
