# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0181017 -----------------
#dely    BF    dB     BFVar
0.050 -0.0135 -0.0000  0.0034
0.150 -0.0064 -0.0000  0.0018
0.250  0.0034  0.0000  0.0023
0.350  0.0144  0.0001  0.0027
0.450  0.0226  0.0001  0.0016
0.550  0.0273  0.0001  0.0015
0.650  0.0283  0.0002  0.0016
0.750  0.0267  0.0002  0.0013
0.850  0.0241  0.0002  0.0011
0.950  0.0196  0.0002  0.0017
1.050  0.0145  0.0001  0.0009
1.150  0.0099  0.0001  0.0007
1.250  0.0061  0.0001  0.0004
1.350  0.0029  0.0001  0.0003
1.450  0.0011  0.0000  0.0002
1.550  0.0003  0.0000  0.0001
1.650  0.0000  0.0000  0.0001
1.750  0.0000  0.0000  0.0000
