# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.000930836 -----------------
#dely    BF
0.050 -0.0640 -0.0016
0.150 -0.0489 -0.0013
0.250 -0.0323 -0.0009
0.350 -0.0171 -0.0005
0.450  0.0015  0.0000
0.550  0.0153  0.0005
0.650  0.0292  0.0011
0.750  0.0272  0.0011
0.850  0.0253  0.0013
0.950  0.0200  0.0011
1.050  0.0148  0.0010
1.150  0.0119  0.0011
1.250  0.0059  0.0008
1.350  0.0019  0.0003
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
