# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0645248 -----------------
#dely    BF
0.050  0.0998  0.0046
0.150  0.0914  0.0044
0.250  0.0746  0.0039
0.350  0.0862  0.0046
0.450  0.0795  0.0044
0.550  0.0488  0.0032
0.650  0.0522  0.0034
0.750  0.0373  0.0028
0.850  0.0290  0.0023
0.950  0.0186  0.0017
1.050  0.0136  0.0016
1.150  0.0078  0.0011
1.250  0.0060  0.0010
1.350  0.0014  0.0004
1.450 -0.0006 -0.0003
1.550 -0.0002 -0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
