# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.301258 -----------------
#dely    BF    dB     BFVar
0.050  0.5514  0.0003  0.0047
0.150  0.5019  0.0002  0.0047
0.250  0.4352  0.0002  0.0071
0.350  0.3729  0.0002  0.0041
0.450  0.3054  0.0002  0.0040
0.550  0.2408  0.0001  0.0026
0.650  0.1874  0.0001  0.0038
0.750  0.1400  0.0001  0.0037
0.850  0.0997  0.0001  0.0027
0.950  0.0707  0.0001  0.0016
1.050  0.0460  0.0000  0.0019
1.150  0.0292  0.0000  0.0013
1.250  0.0172  0.0000  0.0012
1.350  0.0096  0.0000  0.0006
1.450  0.0039  0.0000  0.0008
1.550  0.0014  0.0000  0.0004
1.650  0.0001  0.0000  0.0007
1.750  0.0000  0.0000  0.0002
