# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0104597 -----------------
#dely    BF    dB     BFVar
0.050 -0.0045 -0.0000  0.0020
0.150 -0.0026 -0.0000  0.0035
0.250  0.0048  0.0000  0.0039
0.350  0.0090  0.0001  0.0016
0.450  0.0148  0.0001  0.0029
0.550  0.0163  0.0001  0.0015
0.650  0.0166  0.0002  0.0015
0.750  0.0148  0.0002  0.0018
0.850  0.0124  0.0002  0.0014
0.950  0.0095  0.0001  0.0019
1.050  0.0062  0.0001  0.0005
1.150  0.0041  0.0001  0.0005
1.250  0.0020  0.0001  0.0005
1.350  0.0010  0.0000  0.0002
1.450  0.0002  0.0000  0.0000
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
