 0.00  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000 
 0.50 -0.00000 -0.00000 -0.00000 -0.00000  0.00000  0.00000 
 1.00 -0.00000 -0.00000 -0.00000 -0.00000  0.00000  0.00000 
 1.50 -0.00000 -0.00001 -0.00000 -0.00000  0.00000  0.00000 
 2.00 -0.00001 -0.00005 -0.00000 -0.00000  0.00000  0.00000 
 2.50 -0.00007 -0.00015 -0.00000 -0.00000  0.00000  0.00000 
 3.00 -0.00018 -0.00029 -0.00000 -0.00000  0.00000  0.00000 
 3.50 -0.00036 -0.00044 -0.00000 -0.00000  0.00000  0.00000 
 4.00 -0.00062 -0.00059 -0.00000 -0.00000  0.00000  0.00000 
 4.50 -0.00094 -0.00072 -0.00000 -0.00000  0.00000  0.00000 
 5.00 -0.00133 -0.00083 -0.00000 -0.00000  0.00000  0.00000 
 5.50 -0.00177 -0.00093 -0.00000 -0.00000  0.00000  0.00000 
 6.00 -0.00226 -0.00102 -0.00000 -0.00000  0.00000  0.00000 
 6.50 -0.00279 -0.00109 -0.00000 -0.00000  0.00000  0.00000 
 7.00 -0.00335 -0.00115 -0.00000 -0.00000  0.00000  0.00000 
 7.50 -0.00393 -0.00120 -0.00000 -0.00000  0.00000  0.00000 
 8.00 -0.00455 -0.00125 -0.00000 -0.00000  0.00000  0.00000 
 8.50 -0.00518 -0.00129 -0.00000 -0.00000  0.00000  0.00000 
 9.00 -0.00584 -0.00132 -0.00001 -0.00000  0.00000  0.00000 
 9.50 -0.00651 -0.00135 -0.00001 -0.00000  0.00000  0.00000 
10.00 -0.00719 -0.00138 -0.00001 -0.00000  0.00000  0.00000 
10.50 -0.00789 -0.00140 -0.00001 -0.00000  0.00001  0.00000 
11.00 -0.00859 -0.00142 -0.00001 -0.00000  0.00001  0.00000 
11.50 -0.00931 -0.00144 -0.00002 -0.00000  0.00001  0.00000 
12.00 -0.01003 -0.00146 -0.00002 -0.00001  0.00001  0.00000 
12.50 -0.01076 -0.00147 -0.00002 -0.00001  0.00001  0.00000 
13.00 -0.01150 -0.00148 -0.00002 -0.00001  0.00001  0.00000 
13.50 -0.01225 -0.00151 -0.00003 -0.00001  0.00001  0.00000 
14.00 -0.01301 -0.00152 -0.00003 -0.00001  0.00002  0.00000 
14.50 -0.01378 -0.00153 -0.00004 -0.00001  0.00002  0.00000 
15.00 -0.01454 -0.00154 -0.00004 -0.00001  0.00002  0.00000 
15.50 -0.01532 -0.00155 -0.00005 -0.00001  0.00002  0.00001 
16.00 -0.01609 -0.00156 -0.00005 -0.00001  0.00003  0.00001 
16.50 -0.01687 -0.00156 -0.00006 -0.00001  0.00003  0.00001 
17.00 -0.01766 -0.00157 -0.00006 -0.00001  0.00003  0.00001 
17.50 -0.01844 -0.00158 -0.00007 -0.00001  0.00003  0.00001 
18.00 -0.01923 -0.00158 -0.00008 -0.00001  0.00004  0.00001 
18.50 -0.02002 -0.00159 -0.00008 -0.00002  0.00004  0.00001 
19.00 -0.02082 -0.00159 -0.00009 -0.00002  0.00005  0.00001 
19.50 -0.02162 -0.00160 -0.00010 -0.00002  0.00005  0.00001 
20.00 -0.02240 -0.00156 -0.00011 -0.00002  0.00005  0.00001 
20.50 -0.02318 -0.00157 -0.00012 -0.00002  0.00006  0.00001 
21.00 -0.02397 -0.00157 -0.00013 -0.00002  0.00006  0.00001 
21.50 -0.02475 -0.00157 -0.00014 -0.00002  0.00007  0.00001 
22.00 -0.02554 -0.00158 -0.00015 -0.00002  0.00008  0.00001 
22.50 -0.02633 -0.00158 -0.00016 -0.00002  0.00008  0.00001 
23.00 -0.02712 -0.00158 -0.00017 -0.00003  0.00009  0.00001 
