# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.470979 -----------------
#dely    BF
0.050  0.2456  0.0092
0.150  0.2330  0.0089
0.250  0.2811  0.0104
0.350  0.2659  0.0101
0.450  0.2817  0.0111
0.550  0.2853  0.0113
0.650  0.2847  0.0117
0.750  0.3610  0.0150
0.850  0.3244  0.0139
0.950  0.3425  0.0152
1.050  0.3387  0.0152
1.150  0.3409  0.0164
1.250  0.2583  0.0130
1.350  0.1792  0.0094
1.450  0.1655  0.0086
1.550  0.1238  0.0068
1.650  0.0234  0.0013
1.750 -0.0169 -0.0010
1.850 -0.0265 -0.0016
1.950 -0.0456 -0.0031
2.050 -0.1090 -0.0074
2.150 -0.1677 -0.0117
2.250 -0.1580 -0.0120
2.350 -0.1698 -0.0125
2.450 -0.2012 -0.0154
2.550 -0.1068 -0.0089
2.650 -0.1168 -0.0103
2.750 -0.0696 -0.0069
2.850 -0.0663 -0.0062
2.950 -0.0789 -0.0074
3.050 -0.0419 -0.0042
3.150 -0.0249 -0.0027
3.250  0.0194  0.0021
3.350 -0.0019 -0.0002
3.450  0.0021  0.0003
3.550  0.0538  0.0066
3.650  0.0328  0.0043
3.750  0.0432  0.0055
3.850  0.0541  0.0075
3.950  0.0511  0.0079
4.050  0.0769  0.0116
4.150  0.0891  0.0132
4.250  0.1194  0.0205
4.350  0.0559  0.0104
4.450  0.0438  0.0075
4.550  0.1107  0.0232
4.650  0.0275  0.0050
4.750  0.0548  0.0117
4.850  0.0312  0.0058
4.950  0.1600  0.0254
5.050  0.0653  0.0140
5.150  0.0214  0.0050
5.250  0.0722  0.0158
5.350  0.0581  0.0130
5.450  0.0613  0.0171
5.550  0.0121  0.0034
5.650  0.0248  0.0054
5.750  0.0277  0.0059
5.850  0.0114  0.0033
5.950 -0.0002 -0.0001
6.050  0.0249  0.0125
6.150  0.0022  0.0007
6.250  0.0489  0.0136
6.350  0.0214  0.0081
6.450  0.0190  0.0068
6.550 -0.0078 -0.0030
6.650  0.0221  0.0070
6.750  0.0212  0.0080
6.850  0.0020  0.0006
6.950  0.0007  0.0003
7.050  0.0191  0.0068
7.150  0.0000  0.0000
7.250  0.0475  0.0159
7.350  0.0478  0.0215
7.450  0.0272  0.0122
7.550  0.0035  0.0016
7.650  0.0000  0.0000
7.750  0.0000  0.0000
7.850  0.0009  0.0009
7.950  0.0000  0.0000
8.050  0.0011  0.0007
8.150  0.0008  0.0008
8.250  0.0000  0.0000
8.350  0.0000  0.0000
8.450  0.0000  0.0000
8.550  0.0000  0.0000
8.650  0.0000  0.0000
8.750  0.0300  0.0215
8.850  0.0014  0.0008
8.950  0.0000  0.0000
9.050  0.0000  0.0000
9.150  0.0000  0.0000
9.250  0.0327  0.0235
9.350  0.0000  0.0000
9.450  0.0000  0.0000
9.550 -0.0017 -0.0017
9.650  0.0000  0.0000
9.750  0.0000  0.0000
9.850  0.0000  0.0000
9.950  0.0000  0.0000
10.050  0.0000  0.0000
10.150  0.0000  0.0000
10.250  0.0000  0.0000
10.350  0.0065  0.0037
10.450  0.0000  0.0000
10.550  0.0000  0.0000
10.650  0.0000  0.0000
10.750  0.0077  0.0055
10.850  0.0000  0.0000
10.950  0.0000  0.0000
11.050  0.0000  0.0000
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350  0.0000  0.0000
11.450 -0.0011 -0.0011
11.550  0.0000  0.0000
11.650  0.0000  0.0000
11.750  0.0000  0.0000
11.850  0.0000  0.0000
11.950  0.0000  0.0000
