# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.5, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.232236 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3224  0.0001  0.0711  0.0789  0.1724
0.150  0.3002  0.0001  0.0666  0.0732  0.1604
0.250  0.2751  0.0001  0.0618  0.0668  0.1465
0.350  0.2491  0.0001  0.0565  0.0596  0.1329
0.450  0.2226  0.0001  0.0516  0.0522  0.1188
0.550  0.1948  0.0001  0.0462  0.0448  0.1039
0.650  0.1677  0.0001  0.0413  0.0375  0.0890
0.750  0.1418  0.0001  0.0362  0.0307  0.0749
0.850  0.1171  0.0000  0.0310  0.0247  0.0614
0.950  0.0944  0.0000  0.0263  0.0193  0.0488
1.050  0.0739  0.0000  0.0221  0.0147  0.0372
1.150  0.0559  0.0000  0.0179  0.0109  0.0271
1.250  0.0409  0.0000  0.0141  0.0078  0.0191
1.350  0.0285  0.0000  0.0106  0.0053  0.0126
1.450  0.0190  0.0000  0.0077  0.0034  0.0079
1.550  0.0115  0.0000  0.0050  0.0020  0.0045
1.650  0.0059  0.0000  0.0028  0.0009  0.0021
1.750  0.0016  0.0000  0.0008  0.0003  0.0005
