# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.5, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.00841577 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0195  0.0001 -0.0083  0.0188  0.0090
0.150  0.0175  0.0000 -0.0080  0.0175  0.0080
0.250  0.0155  0.0000 -0.0072  0.0155  0.0071
0.350  0.0124  0.0000 -0.0065  0.0129  0.0060
0.450  0.0087  0.0000 -0.0057  0.0101  0.0043
0.550  0.0054  0.0000 -0.0048  0.0077  0.0026
0.650  0.0032  0.0000 -0.0042  0.0057  0.0016
0.750  0.0018  0.0000 -0.0031  0.0039  0.0011
0.850  0.0008  0.0000 -0.0023  0.0025  0.0006
0.950  0.0001  0.0000 -0.0016  0.0015  0.0003
1.050 -0.0002 -0.0000 -0.0011  0.0008  0.0001
1.150 -0.0003 -0.0000 -0.0006  0.0003  0.0000
1.250 -0.0002 -0.0000 -0.0003  0.0001  0.0000
1.350 -0.0001 -0.0000 -0.0001  0.0000  0.0000
1.450 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
