# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0978312 -----------------
#dely    BF    dB     BFVar
0.050 -0.1797 -0.0006  0.0042
0.150 -0.1646 -0.0005  0.0040
0.250 -0.1437 -0.0005  0.0039
0.350 -0.1186 -0.0005  0.0024
0.450 -0.0936 -0.0004  0.0017
0.550 -0.0742 -0.0004  0.0018
0.650 -0.0587 -0.0003  0.0017
0.750 -0.0445 -0.0003  0.0013
0.850 -0.0338 -0.0002  0.0027
0.950 -0.0256 -0.0002  0.0008
1.050 -0.0181 -0.0002  0.0007
1.150 -0.0115 -0.0001  0.0009
1.250 -0.0065 -0.0001  0.0006
1.350 -0.0033 -0.0001  0.0006
1.450 -0.0014 -0.0000  0.0005
1.550 -0.0003 -0.0000  0.0001
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
