# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0236007 -----------------
#dely    BF    dB     BFVar
0.050  0.0326  0.0003  0.0095
0.150 -0.0133 -0.0001  0.0087
0.250 -0.0360 -0.0004  0.0054
0.350 -0.0463 -0.0006  0.0028
0.450 -0.0427 -0.0006  0.0028
0.550 -0.0396 -0.0007  0.0035
0.650 -0.0300 -0.0006  0.0037
0.750 -0.0227 -0.0005  0.0025
0.850 -0.0160 -0.0004  0.0015
0.950 -0.0114 -0.0004  0.0027
1.050 -0.0061 -0.0003  0.0009
1.150 -0.0030 -0.0001  0.0005
1.250 -0.0011 -0.0001  0.0007
1.350 -0.0004 -0.0000  0.0002
1.450 -0.0002 -0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
