# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.19917 -----------------
#dely    BF
0.050  0.3446  0.0002
0.150  0.3130  0.0002
0.250  0.2798  0.0002
0.350  0.2435  0.0002
0.450  0.2049  0.0002
0.550  0.1674  0.0001
0.650  0.1344  0.0001
0.750  0.1011  0.0001
0.850  0.0775  0.0001
0.950  0.0546  0.0001
1.050  0.0348  0.0000
1.150  0.0215  0.0000
1.250  0.0119  0.0000
1.350  0.0049  0.0000
1.450  0.0007  0.0000
1.550 -0.0012 -0.0000
1.650 -0.0013 -0.0000
1.750 -0.0006 -0.0000
