# SIGMA_QGP=1, SIGMA_HAD=1
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.221059 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3051  0.0000  0.0628  0.0634  0.1789
0.150  0.2838  0.0000  0.0589  0.0594  0.1654
0.250  0.2598  0.0000  0.0546  0.0552  0.1499
0.350  0.2348  0.0000  0.0503  0.0507  0.1338
0.450  0.2089  0.0000  0.0457  0.0461  0.1171
0.550  0.1825  0.0000  0.0409  0.0414  0.1001
0.650  0.1571  0.0000  0.0365  0.0367  0.0839
0.750  0.1335  0.0000  0.0319  0.0322  0.0694
0.850  0.1114  0.0000  0.0275  0.0277  0.0561
0.950  0.0909  0.0000  0.0234  0.0236  0.0440
1.050  0.0724  0.0000  0.0195  0.0196  0.0333
1.150  0.0561  0.0000  0.0158  0.0159  0.0243
1.250  0.0420  0.0000  0.0125  0.0125  0.0170
1.350  0.0303  0.0000  0.0095  0.0095  0.0113
1.450  0.0206  0.0000  0.0068  0.0068  0.0071
1.550  0.0129  0.0000  0.0045  0.0044  0.0040
1.650  0.0067  0.0000  0.0024  0.0024  0.0019
1.750  0.0020  0.0000  0.0007  0.0007  0.0005
