'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.423265,0.166197,0.505366,0.654006,0.158081,0.785719,0.368045,0.0785783,0.0818079,0.689664,0.141009,0.648149
0.418895,0.167755,0.507637,0.656779,0.15597,0.776224,0.365643,0.0785522,0.0782428,0.695748,0.140213,0.646911
0.4165,0.169402,0.512489,0.663677,0.156031,0.779949,0.368365,0.0769623,0.0739419,0.705514,0.139068,0.645495
0.424937,0.167489,0.513156,0.646813,0.156933,0.776144,0.362067,0.0780347,0.0703967,0.707851,0.138988,0.646112
0.432579,0.165815,0.513746,0.645892,0.156667,0.774297,0.360638,0.0785211,0.070805,0.703183,0.140073,0.649509
0.428443,0.168338,0.520898,0.637813,0.154656,0.759713,0.369572,0.0736946,0.0588233,0.699608,0.13916,0.643355
0.43119,0.169517,0.529287,0.637735,0.153541,0.753924,0.370369,0.0706675,0.0443589,0.708782,0.137698,0.640046
0.438284,0.168828,0.533623,0.641654,0.151477,0.745334,0.375632,0.0686108,0.0410704,0.708467,0.138851,0.645691
0.442909,0.168568,0.537204,0.640411,0.152062,0.747699,0.372556,0.0668988,0.0280107,0.706831,0.138688,0.644162
0.442747,0.166509,0.527568,0.651416,0.149021,0.737683,0.369462,0.0703165,0.0412752,0.699142,0.13811,0.637879
0.435502,0.167527,0.52472,0.645256,0.149857,0.738846,0.367939,0.0727911,0.05186,0.701801,0.137506,0.636029
0.435502,0.167527,0.52472,0.645256,0.149857,0.738846,0.367939,0.0727911,0.05186,0.701801,0.137506,0.636029
0.439656,0.167344,0.528226,0.647054,0.148573,0.733146,0.370762,0.0749057,0.0667324,0.692898,0.139397,0.641532
0.444725,0.165065,0.522944,0.648857,0.14839,0.733126,0.374442,0.07342,0.0641968,0.691027,0.138918,0.638283
0.455659,0.162708,0.522971,0.642122,0.148048,0.727892,0.373792,0.0767479,0.0804348,0.684289,0.13936,0.63741
0.445878,0.165545,0.526321,0.646966,0.148159,0.730966,0.365709,0.0807286,0.0895432,0.679379,0.139661,0.636632
0.446166,0.165401,0.525948,0.645254,0.149112,0.735,0.371107,0.0790466,0.088536,0.68346,0.138401,0.632215
0.447597,0.164592,0.523671,0.650175,0.148786,0.735843,0.368239,0.0804653,0.0917989,0.688269,0.138036,0.632603
0.455654,0.163855,0.528245,0.644125,0.149594,0.736906,0.369683,0.0813409,0.0983487,0.671813,0.140312,0.636308
0.459901,0.163213,0.529386,0.650665,0.149833,0.741494,0.374585,0.0801661,0.099129,0.671691,0.139693,0.633146
0.459901,0.163213,0.529386,0.650665,0.149833,0.741494,0.374585,0.0801661,0.099129,0.671691,0.139693,0.633146
0.46788,0.161463,0.528853,0.646226,0.149448,0.737235,0.375226,0.079884,0.0985582,0.671983,0.139511,0.632372
0.461267,0.163305,0.531117,0.651358,0.148777,0.736398,0.370112,0.0801546,0.0928446,0.6764,0.140086,0.637359
0.457556,0.166053,0.5402,0.649304,0.148957,0.736278,0.374581,0.0806734,0.101735,0.688563,0.139269,0.638922
0.452114,0.164459,0.527554,0.647563,0.148702,0.734074,0.376224,0.0804595,0.102888,0.690794,0.138038,0.633764
0.454122,0.163526,0.525236,0.651361,0.148536,0.735157,0.374905,0.0813146,0.105482,0.701222,0.137339,0.634939
0.448857,0.165123,0.527375,0.645439,0.148457,0.731718,0.372437,0.0840028,0.11591,0.692661,0.137022,0.62952
0.440156,0.168662,0.534807,0.644123,0.148685,0.732212,0.366397,0.0847025,0.11099,0.698875,0.137167,0.633033
0.439321,0.168963,0.535322,0.648332,0.148342,0.73261,0.365457,0.0841632,0.106865,0.705688,0.139355,0.647009
0.435685,0.168796,0.530752,0.646785,0.151261,0.746875,0.362614,0.083718,0.100456,0.72537,0.137878,0.647986
0.432958,0.171379,0.539741,0.64778,0.151171,0.746918,0.367231,0.0823133,0.0998804,0.724494,0.137725,0.646859
0.435328,0.170624,0.538785,0.652087,0.150351,0.744884,0.369893,0.0855158,0.120141,0.734849,0.137219,0.64857
0.436546,0.16903,0.532734,0.649769,0.150983,0.746968,0.375919,0.084096,0.121195,0.725198,0.137612,0.646584
0.434949,0.16868,0.529442,0.64623,0.149282,0.736381,0.373471,0.0867432,0.131455,0.730543,0.137003,0.645735
0.42929,0.1687,0.523481,0.638234,0.149833,0.735063,0.378365,0.0858741,0.133678,0.730624,0.136531,0.643402
0.42994,0.168799,0.524639,0.638759,0.149504,0.73364,0.379904,0.0840293,0.126254,0.727647,0.135704,0.638032
0.435284,0.166655,0.520482,0.640679,0.148626,0.730116,0.376082,0.0853184,0.127711,0.71736,0.137446,0.642463
0.439332,0.166731,0.525067,0.64016,0.148956,0.73155,0.378952,0.0828952,0.119133,0.719953,0.138676,0.649726
0.437174,0.16525,0.516002,0.639564,0.148227,0.727474,0.386356,0.0823086,0.125934,0.73157,0.137541,0.648851
0.443129,0.164481,0.51863,0.640759,0.14777,0.725743,0.385774,0.0839477,0.133614,0.735851,0.137147,0.648617
