# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0113047 -----------------
#dely    BF
0.050  0.1322  0.0076
0.150  0.0693  0.0040
0.250  0.0772  0.0045
0.350  0.0028  0.0002
0.450  0.0052  0.0003
0.550 -0.0772 -0.0046
0.650 -0.1146 -0.0073
0.750 -0.1237 -0.0086
0.850 -0.1027 -0.0071
0.950 -0.1061 -0.0078
1.050 -0.0614 -0.0049
1.150 -0.1325 -0.0104
1.250 -0.1144 -0.0093
1.350 -0.1244 -0.0101
1.450 -0.1344 -0.0122
1.550 -0.1064 -0.0093
1.650 -0.1321 -0.0127
1.750 -0.1104 -0.0113
1.850 -0.0816 -0.0096
1.950 -0.1796 -0.0192
2.050 -0.1051 -0.0126
2.150 -0.1505 -0.0162
2.250 -0.1495 -0.0161
2.350 -0.1168 -0.0131
2.450 -0.0866 -0.0109
2.550 -0.1105 -0.0142
2.650 -0.0498 -0.0059
2.750 -0.1173 -0.0181
2.850 -0.1244 -0.0162
2.950 -0.0568 -0.0093
3.050 -0.0599 -0.0089
3.150 -0.0388 -0.0072
3.250 -0.0290 -0.0050
3.350 -0.0358 -0.0072
3.450  0.0037  0.0007
3.550 -0.0160 -0.0029
3.650 -0.0106 -0.0026
3.750 -0.0078 -0.0015
3.850  0.0007  0.0001
3.950  0.0324  0.0062
4.050  0.0287  0.0048
4.150 -0.0030 -0.0009
4.250  0.0232  0.0045
4.350  0.0140  0.0035
4.450  0.0218  0.0056
4.550  0.0218  0.0060
4.650  0.0484  0.0140
4.750  0.1045  0.0254
4.850  0.0239  0.0066
4.950  0.0651  0.0174
5.050  0.0370  0.0107
5.150  0.0458  0.0145
5.250  0.0416  0.0170
5.350  0.0432  0.0144
5.450  0.1162  0.0337
5.550  0.0093  0.0046
5.650  0.0549  0.0247
5.750  0.0609  0.0216
5.850  0.0482  0.0171
5.950  0.0337  0.0102
6.050  0.0191  0.0111
6.150  0.0458  0.0188
6.250  0.0363  0.0149
6.350  0.0599  0.0304
6.450  0.0373  0.0188
6.550  0.1026  0.0399
6.650  0.1327  0.0514
6.750  0.0246  0.0123
6.850  0.0340  0.0155
6.950  0.1398  0.0589
7.050  0.2011  0.0808
7.150  0.0000  0.0000
7.250  0.0404  0.0404
7.350  0.0000  0.0000
7.450  0.0000  0.0000
7.550  0.2368  0.1280
7.650  0.0496  0.0296
7.750  0.0000  0.0000
7.850  0.0422  0.0422
7.950  0.0601  0.0349
8.050  0.0000  0.0000
8.150  0.0081  0.0057
8.250  0.0112  0.0079
8.350  0.0653  0.0653
8.450  0.0526  0.0387
8.550  0.0088  0.0088
8.650  0.0000  0.0000
8.750  0.0024  0.0024
8.850  0.0000  0.0000
8.950  0.1524  0.1524
9.050  0.0000  0.0000
9.150  0.0000  0.0000
9.250  0.0102  0.0102
9.350  0.0000  0.0000
9.450  0.0000  0.0000
9.550  0.0000  0.0000
9.650  0.0000  0.0000
9.750  0.0000  0.0000
9.850  0.0969  0.0773
9.950  0.0000  0.0000
10.050  0.0000  0.0000
10.150  0.0000  0.0000
10.250  0.0000  0.0000
10.350  0.0000  0.0000
10.450  0.0000  0.0000
10.550  0.0000  0.0000
10.650  0.0441  0.0441
10.750  0.0000  0.0000
10.850  0.0000  0.0000
10.950  0.0000  0.0000
11.050  0.0000  0.0000
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350  0.0000  0.0000
11.450  0.0000  0.0000
11.550  0.0524  0.0524
11.650  0.0000  0.0000
11.750  0.0182  0.0182
11.850  0.0000  0.0000
11.950  0.0000  0.0000
