 0.1 1.4972 0.583483 0.631131	 39.4032 2.96302 8.74242 0.962054 2.65031 -1.90196 -1.75479 0.230156 0.0989033 0.372121 -0.0975793 -0.0561505
 0.277978 1.04314 0.622723 1.14264	 9.53823 4.4706 5.1683 -4.06037 0.669699 -1.31797 -0.874891 0.181796 0.597745 0.120846 -0.118722 -0.0432617
 0.451752 0.772673 1.01932 0.649349	 -10.1129 6.96745 1.17179 1.80015 -0.347767 -0.337546 0.739915 -0.0711884 -0.224757 0.230231 -0.202003 0.0342057
 0.730631 0.739039 1.2996 1.06837	 -11.5082 4.79897 -1.47493 -1.81235 -2.14326 -0.305265 -0.100978 -1.0777 0.643682 -0.660528 -0.402389 -0.162255
 0.270971 1.47898 1.47758 0.98989	 -12.4052 7.54819 9.17755 -2.89482 -2.64248 -1.64353 0.528672 0.189841 -0.0386317 -0.311757 0.609117 -0.00151814
 0.392893 0.503604 0.61992 1.38509	 -32.1659 7.99832 0.0373637 -4.22762 0.154066 -0.0561119 -0.970334 0.036041 0.795278 0.0340919 -0.0833514 -0.0518113
 0.157457 0.597497 0.261161 0.776877	 10.3558 5.08091 6.28557 -1.28765 4.7523 -0.00728472 -0.0509456 0.146775 -0.146956 0.0461672 -1.14592 -0.0773542
 1.06136 0.454555 0.46997 0.748849	 -49.7092 0.948886 -7.88436 0.749245 0.449813 0.470815 1.93898 0.302376 0.102959 0.254011 -0.889765 -0.0742241
 1.37528 0.154655 1.26176 0.350851	 239.354 -3.87641 -1.67845 6.60452 1.0957 3.06578 -1.59523 -0.708197 -0.283142 0.371062 0.129721 -0.43424
 0.761461 0.568068 1.34164 0.959059	 5.03902 2.52422 -2.85232 -0.344201 -0.230389 0.801281 -0.426679 0.604278 0.265359 -0.462193 0.135445 0.200562
 0.614314 1.05716 0.163063 1.36406	 -35.2581 1.73253 -5.01169 -5.25083 2.01413 -1.17098 -1.57665 0.0728139 -1.01597 -0.333586 0.618012 -0.0401738
 0.123824 1.27437 1.18048 1.21131	 2.02094 8.33331 13.2251 -4.66443 -1.88421 -0.979583 -1.08351 -0.122778 0.207352 -0.0338563 -0.258847 -0.0457198
 1.28418 0.643744 1.14264 0.331231	 -75.5165 -9.10947 0.218406 5.45708 -1.57936 0.349272 1.13448 -1.01832 -0.125351 -0.278621 -0.532385 0.104228
 0.147648 0.898799 0.105606 0.701201	 -6.21394 4.7942 4.2481 -1.31496 3.91209 -1.49117 -1.94378 -0.698172 -0.446635 0.415392 -0.454689 -0.0195933
 0.17007 0.9002 0.472773 0.586286	 14.5252 4.18834 6.4662 1.90125 1.81187 -1.88824 -1.31696 -0.940776 -0.518031 0.514708 -0.464613 -0.0390638
 1.3977 0.350851 1.20851 0.603103	 180.283 -2.58351 -3.15942 1.46751 0.0697178 2.29538 -2.04482 -0.491644 0.197629 0.245066 0.168401 0.073696
 1.05295 0.277978 0.199499 1.26737	 -48.3408 -8.50514 -0.735951 -5.95008 3.05401 2.47549 -0.927884 0.125545 -1.20571 -0.327875 0.301268 0.0122135
 0.115415 0.286386 0.84975 0.988488	 11.7359 7.76676 12.5233 -2.54399 1.91197 1.82007 2.1718 -0.0424987 0.288721 0.274291 -0.465944 0.109004
 0.612913 1.08098 1.24775 0.182683	 -39.828 8.65562 -2.07947 8.71988 -2.1846 -0.744304 -2.01093 -0.5414 -0.473019 -0.348915 -0.106335 -0.142013
 0.18969 0.907207 0.636737 0.98008	 15.7117 5.49432 9.60054 -3.80849 0.385524 -0.647794 -0.0716142 -0.0633484 0.0949086 0.338582 -0.242546 0.0796793
 0.664765 1.27718 1.04595 0.258358	 -41.456 8.39237 -7.15583 8.20469 -1.7792 -1.47984 0.368013 0.559638 0.0821071 -0.199051 0.342377 0.0635083
