# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0165107 -----------------
#dely    BF    dB     BFVar
0.050 -0.0417 -0.0005  0.0048
0.150 -0.0326 -0.0004  0.0028
0.250 -0.0097 -0.0001  0.0038
0.350  0.0122  0.0002  0.0031
0.450  0.0254  0.0003  0.0040
0.550  0.0380  0.0006  0.0043
0.650  0.0410  0.0007  0.0075
0.750  0.0409  0.0008  0.0060
0.850  0.0316  0.0007  0.0036
0.950  0.0223  0.0006  0.0028
1.050  0.0174  0.0006  0.0023
1.150  0.0126  0.0005  0.0028
1.250  0.0044  0.0003  0.0015
1.350  0.0028  0.0002  0.0004
1.450  0.0003  0.0000  0.0001
1.550  0.0002  0.0001  0.0002
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
