# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0464746 -----------------
#dely    BF    dB     BFVar
0.050 -0.1039 -0.0001  0.0019
0.150 -0.0961 -0.0000  0.0015
0.250 -0.0856 -0.0000  0.0025
0.350 -0.0718 -0.0000  0.0026
0.450 -0.0567 -0.0000  0.0032
0.550 -0.0424 -0.0000  0.0022
0.650 -0.0305 -0.0000  0.0028
0.750 -0.0197 -0.0000  0.0014
0.850 -0.0093 -0.0000  0.0006
0.950 -0.0030 -0.0000  0.0013
1.050  0.0034  0.0000  0.0011
1.150  0.0062  0.0000  0.0009
1.250  0.0090  0.0000  0.0004
1.350  0.0101  0.0000  0.0008
1.450  0.0091  0.0000  0.0008
1.550  0.0086  0.0000  0.0007
1.650  0.0057  0.0000  0.0004
1.750  0.0021  0.0000  0.0003
