'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
0.953259,0.134491,0.654294,0.48304,0.489978,0.350078,0.175348,0.603564,0.699455,0.24956,0.223637,0.280283,0.565253,0.150496,0.530919,0.623886,0.138454,0.823229,0.860297,0.243787
0.962478,0.146107,0.664204,0.458327,0.496871,0.36115,0.194536,0.588298,0.712116,0.247252,0.229444,0.292224,0.553147,0.129145,0.517598,0.611618,0.153947,0.825653,0.873313,0.244041
0.981074,0.145119,0.656915,0.472102,0.494877,0.340512,0.204745,0.593438,0.702664,0.249992,0.207837,0.288314,0.577557,0.111509,0.51666,0.613746,0.171386,0.84207,0.857102,0.225219
0.971714,0.129424,0.656989,0.466625,0.486563,0.335653,0.216342,0.612677,0.697206,0.248842,0.179207,0.270792,0.574383,0.104028,0.512187,0.618896,0.201359,0.839999,0.846753,0.223142
0.946634,0.110903,0.659867,0.479194,0.496615,0.325125,0.217864,0.615723,0.694061,0.264286,0.18874,0.261888,0.561484,0.10604,0.513965,0.598127,0.19174,0.839209,0.857554,0.226379
0.924411,0.0950861,0.656785,0.468482,0.524257,0.346552,0.186086,0.637701,0.724508,0.272301,0.171322,0.265737,0.545233,0.121311,0.530395,0.576429,0.226295,0.831159,0.858204,0.19819
0.902252,0.0948544,0.650646,0.459252,0.513962,0.348518,0.189608,0.626159,0.740712,0.257278,0.182825,0.274887,0.54507,0.142081,0.535005,0.56418,0.24212,0.828952,0.853114,0.200334
0.894748,0.104355,0.646971,0.501953,0.488576,0.360996,0.198316,0.633874,0.724572,0.253031,0.215015,0.310374,0.536507,0.206367,0.553119,0.600883,0.214338,0.793161,0.839191,0.205144
0.897907,0.116467,0.64421,0.516486,0.497778,0.361011,0.16984,0.644346,0.732276,0.237067,0.205935,0.309659,0.553959,0.168768,0.501394,0.621058,0.182007,0.794978,0.849437,0.192401
0.889594,0.105133,0.648566,0.505762,0.468899,0.353294,0.169342,0.626377,0.725256,0.215417,0.219023,0.312193,0.550571,0.187796,0.512791,0.603748,0.169722,0.772706,0.831224,0.18499
0.905625,0.112106,0.631893,0.516217,0.486957,0.383516,0.168004,0.671723,0.710732,0.220633,0.243401,0.304815,0.533009,0.135791,0.516533,0.580957,0.147136,0.783735,0.823768,0.209534
0.90873,0.10717,0.627601,0.494492,0.497594,0.387608,0.172485,0.690785,0.722193,0.222901,0.243416,0.318593,0.517971,0.142085,0.526664,0.556153,0.141953,0.787114,0.815579,0.196101
0.889769,0.102859,0.618037,0.503222,0.527575,0.395579,0.173446,0.69952,0.736981,0.215859,0.252855,0.337951,0.52015,0.147615,0.522087,0.577011,0.164055,0.822084,0.813699,0.188932
0.881997,0.12143,0.620021,0.482455,0.5622,0.375949,0.16385,0.688246,0.766255,0.229226,0.201469,0.334821,0.507317,0.142703,0.547125,0.572191,0.18306,0.81973,0.84579,0.219936
0.895739,0.147853,0.636155,0.491902,0.560442,0.349109,0.161233,0.702729,0.777503,0.24746,0.221324,0.346612,0.513414,0.157926,0.547401,0.577381,0.182457,0.829825,0.832054,0.246543
0.919682,0.149274,0.623936,0.493042,0.573138,0.345098,0.162972,0.714168,0.763696,0.274602,0.224686,0.346731,0.479636,0.149643,0.53544,0.582346,0.157119,0.862948,0.842811,0.26961
0.951713,0.178537,0.617302,0.478654,0.59722,0.330033,0.189817,0.775948,0.724383,0.2702,0.235594,0.344269,0.484211,0.175743,0.537421,0.611579,0.175391,0.856958,0.854451,0.232504
0.920006,0.176868,0.620788,0.439453,0.570386,0.315034,0.153612,0.772325,0.758323,0.334129,0.239625,0.349962,0.507226,0.162642,0.524951,0.601729,0.162418,0.875721,0.81426,0.197336
0.935148,0.173353,0.62171,0.434997,0.578863,0.306754,0.125202,0.776882,0.752693,0.325155,0.250438,0.363411,0.490147,0.148176,0.521838,0.587671,0.151957,0.905494,0.801316,0.205421
0.953969,0.17388,0.605945,0.442944,0.596051,0.336964,0.123525,0.754871,0.732475,0.325144,0.261879,0.361138,0.509012,0.107066,0.505985,0.58186,0.172212,0.90188,0.801192,0.218368
0.929532,0.159985,0.628553,0.447964,0.616872,0.337188,0.122144,0.730987,0.741131,0.34349,0.286445,0.340166,0.50549,0.121646,0.503676,0.557735,0.136723,0.90175,0.820104,0.223342
0.929532,0.159985,0.628553,0.447964,0.616872,0.337188,0.122144,0.730987,0.741131,0.34349,0.286445,0.340166,0.50549,0.121646,0.503676,0.557735,0.136723,0.90175,0.820104,0.223342
0.94118,0.145244,0.629062,0.438863,0.602081,0.357108,0.0957004,0.725774,0.747385,0.322991,0.312639,0.314946,0.492347,0.136225,0.4964,0.558514,0.156369,0.906235,0.798106,0.21404
0.916399,0.132221,0.658738,0.434513,0.603965,0.369163,0.120524,0.720981,0.748516,0.325604,0.341163,0.340307,0.487777,0.147028,0.486582,0.611587,0.171699,0.922582,0.824978,0.209218
0.904293,0.117594,0.66904,0.445625,0.615557,0.34171,0.120507,0.735148,0.712351,0.31772,0.334374,0.317881,0.473789,0.155691,0.496789,0.63525,0.16658,0.952744,0.834918,0.176585
